,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,,garden_tree_8,garden_tree_8,,garden_grass_2,,,,dirty_river_bottom_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,outside_wooden_door_01_close,dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01,wooden_wall_01,garden_tree_8,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,,garden_tree_8,garden_tree_8,,,,,,dirty_river_vertical_01,garden_tree_4,,,,garden_tree_4,garden_grass_2,garden_tree_7,,,garden_tree_7,,,garden_tree_4,garden_tree_11,garden_tree_4,garden_grass_1,,,garden_stone,garden_tree_8,garden_tree_8,,,,garden_tree_8,,,,,garden_tree_6,wooden_wall_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,wooden_wall_01,,,,,,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,garden_stone,,,,,garden_stone,,garden_tree_4,dirty_river_vertical_01,@,@,@,@,@,@,@,@,@,@,@,@,@@,@@,@@,@@,window_02,@@,@@,@@,@@,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,@@,@@,@@,door_02_close,window_02,@@,@@,@@,@@,,,,,garden_tree_8,,,dirty_right_01,,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,,,,,,,,,dirty_river_vertical_01,@,house_table,,house_cupboard,house_wardrobe,@,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,@@,house_cupboard,house_cupboard,house_wardrobe,house_library,@,house_shink,house_stove,@@,,,,,,,,misc_dead,garden_dirty_1,@@,house_cupboard,house_cupboard,bg,house_library,@,house_shink,house_stove,@@,,,,,,,dirty_top_right_01,dirty_01,,water_bottom_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,,,garden_tree_11,,,,,,garden_tree_8,dirty_river_vertical_01,window_01,,,,,@,,,garden_dirty_1,,misc_blood,,@@,,,,,door_02_open,,,window_02,garden_dirty_1,,misc_blood,garden_dirty_1,,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_right,window_02,,,,misc_blood,door_02_open,,misc_dead,window_02,,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,water_left_01,,,dirty_left_01,garden_grass_1,,,,,garden_tree_6,,,garden_tree_8,dirty_river_vertical_01,@,,,,,door_02_close,,,,,,garden_dirty_1,@@,house_bed_right,,,,@,house_cupboard_01,house_fridge,@@,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,,,,,garden_dirty_1,@@,house_bed_right,,,,@,house_cupboard_01,house_fridge,@@,,garden_tree_8,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_01,water_bottom_left_01,,,dirty_left_01,,,garden_grass_2,,,,,,garden_grass_2,dirty_river_vertical_01,@,@,door_02_close,@,@,@,@,@,@,@,@,@,@@,@,@,,@,@,@,@,@@,wooden_wall_01,house_wardrobe,,wooden_door_01_close,,garden_tree_3,,,,@@,@,@,,@,@,@,@,@@,,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_01,dirty_01,dirty_bottom_01,dirty_bottom_left_01,,,,,,garden_tree_8,,,garden_tree_4,dirty_river_vertical_01,outside_wooden_fence_1,,dirty_river_vertical_01,garden_stone,,,,garden_tree_11,,,,garden_stone,@@,house_table,house_bench,,,@,house_toilet_right,house_cupboard_01,@@,wooden_wall_01,house_bench,,wooden_wall_01,garden_dirty_1,,,,garden_tree_7,@@,house_table,house_bench,,,@,house_toilet_right,house_cupboard_01,@@,,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_01,dirty_bottom_left_01,factory_industrial_pipe_left,factory_industrial_pipe_right,,misc_dead,,,,,,,,dirty_river_vertical_01,outside_wooden_fence_1,,dirty_river_top_right_01,dirty_river_horizontal_01,dirty_river_bottom_left_01,,,,,garden_grass_1,,,window_02,house_bench,,,,door_02_open,,,window_02,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,,,,garden_tree_3,,window_02,house_bench,misc_blood,,,door_02_open,,,window_02,,,,,garden_tree_8,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,,,garden_tree_11,,,,garden_tree_7,dirty_river_vertical_01,outside_wooden_fence_1,,garden_grass_2,,dirty_river_vertical_01,,garden_grass_1,,,,,,@@,,,,,@@,house_bath_right,factory_industrial_pipe_left,@@,factory_industrial_pipe_middle,factory_industrial_pipe_holder,factory_industrial_pipe_middle,factory_industrial_pipe_right,,garden_tree_11,misc_dead,,,@@,,misc_blood,,,@@,house_bath_right,factory_industrial_pipe_left,@@,factory_industrial_pipe_right,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,,wooden_wall_01,house_table,house_bench,wooden_wall_01,,,,,,,garden_stone,dirty_river_vertical_01,outside_wooden_fence_1,,,,dirty_river_top_right_01,dirty_river_horizontal_01,dirty_river_bottom_left_01,,,garden_tree_7,,,@@,[2],@@,door_02_close,@@,@@,@@,window_02,@@,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_door_01_close,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,@@,@@,@@,door_02_close,@@,@@,@@,window_02,@@,garden_grass_2,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,,wooden_wall_01,,misc_blood,wooden_wall_01,,garden_grass_2,,,,,garden_tree_3,dirty_river_vertical_01,outside_wooden_fence_1,garden_stone,,,garden_tree_10,,dirty_river_vertical_01,,,,,,@@,window_02,@@,dirty_river_vertical_01,garden_grass_1,garden_tree_4,,garden_stone,outside_wooden_fence_1,garden_grass_2,,,,dirty_river_vertical_01,,garden_tree_7,,garden_tree_11,outside_wooden_fence_1,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,outside_wooden_fence_1,,,,garden_tree_8,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,,wooden_wall_01,outside_wooden_door_01_close,wooden_wall_01,wooden_wall_01,,,,,garden_tree_6,,,dirty_river_vertical_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,garden_stone,,dirty_river_vertical_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_top_left_01,,,,,outside_wooden_fence_1,,garden_grass_1,,garden_tree_7,dirty_river_vertical_01,,,garden_grass_3,,outside_wooden_fence_1,dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01,outside_wooden_fence_1,,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,,,,,garden_grass_2,dirty_river_vertical_01,wooden_wall_01,,,wooden_door_01_close,dirty_river_horizontal_bottom_01,dirty_river_horizontal_01,dirty_river_top_left_01,,,,,,,,,,,garden_grass_2,,,outside_wooden_fence_1,,garden_tree_11,,,dirty_river_vertical_01,,,,garden_dirty_1,outside_wooden_fence_1,dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01,outside_wooden_fence_1,garden_tree_8,,,,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_left_01,,,,,garden_tree_11,garden_stone,garden_dirty_2,,,,,garden_tree_8,dirty_river_vertical_01,wooden_wall_01,house_table,,wooden_wall_01,dirty_river_vertical_01,,,garden_grass_2,,,,,garden_grass_1,,,garden_tree_4,,,,garden_stone,outside_wooden_fence_1,garden_stone,garden_tree_7,,,dirty_river_vertical_01,,garden_tree_7,,,outside_wooden_fence_1,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,outside_wooden_fence_1,,,,garden_tree_8,,,dirty_right_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_left_01,dirty_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,,,garden_dirty_2,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,dirty_river_vertical_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,wooden_wall_01,outside_wooden_door_01_close,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,garden_dirty_1,,,garden_grass_1,dirty_river_vertical_01,,garden_grass_2,,garden_grass_2,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_door_01_close,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,,,,,,,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_01,water_top_01,water_top_01,water_top_01,water_top_left_01,dirty_left_01,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,,garden_grass_1,dirty_river_top_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_cross,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_cross,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_top_left_01,,,,garden_tree_8,garden_grass_1,,,,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,dirty_left_01,,,,,,garden_dirty_2,,,garden_tree_8,,,,garden_stone,dirty_river_vertical_01,,,garden_grass_3,,garden_dirty_1,,,,,,,,,garden_dirty_1,,garden_tree_8,,misc_blood,,garden_stone,dirty_river_vertical_01,,,garden_grass_2,garden_stone,,,garden_tree_6,,,,,garden_dirty_1,,,,,garden_tree_8,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,dirty_left_01,,,garden_tree_8,,,garden_dirty_2,,,,garden_tree_8,,,,dirty_river_vertical_01,,,,,misc_blood,,garden_tree_8,,,,garden_tree_8,,garden_dirty_1,,,,,,,,dirty_river_vertical_01,,,,,garden_dirty_1,,garden_stone,,,,,,,,,,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,dirty_01,dirty_top_left_01,,,,,garden_dirty_2,,,,garden_stone,garden_tree_8,garden_dirty_1,,dirty_river_vertical_01,garden_tree_8,,,,,,,,garden_stone,,,,garden_dirty_1,garden_tree_8,garden_grass_1,,,,,garden_tree_8,dirty_river_vertical_01,,,garden_tree_6,,,garden_tree_8,,,,garden_tree_8,,,,,,,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,,,dirty_top_left_01,,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,,,,,,dirty_river_top_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_bottom_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_top_left_01,garden_stone,,garden_dirty_1,,garden_tree_6,,,garden_tree_8,garden_grass_1,,,,,,,,,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,,dirty_bottom_01,dirty_bottom_left_01,,garden_tree_8,,,,garden_dirty_2,garden_dirty_2,garden_tree_6,,,garden_tree_6,,garden_dirty_1,,,garden_tree_6,,,dirty_river_vertical_01,,garden_stone,,garden_grass_1,,,,,,,,,,garden_tree_6,,,,,garden_grass_1,garden_stone,,,,,,,,,,,,dirty_right_01,water_top_right_01,water_top_01,water_top_01,water_top_01,water_top_01,water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,water_left_01,dirty_left_01,,,,,garden_tree_8,,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,,,,,,garden_dirty_1,,,dirty_river_vertical_01,,,,,,garden_tree_6,,,garden_tree_6,,,garden_tree_6,,,,,,,,,,,,,,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,dirty_bottom_left_01,,,,,,,,,,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,,,,,,dirty_river_vertical_01,,,,,,,,,,,,,,,,,,,,,,,,garden_tree_8,garden_tree_8,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_bottom_left_01,,,,dirty_bottom_left_01,,,,,garden_tree_8,,,,,,,,,,,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,garden_dirty_2,dirty_river_vertical_01,,,,,,,,,,,,,,,garden_tree_8,,,,,,,,,,,,,,,,,dirty_right_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,water_left_01,,,,dirty_left_01,,,,,,,,,,,,,garden_tree_8,,,,,,,,,,dirty_river_vertical_01,,,,,,,,,,,,,,,,,,,,,,garden_tree_8,,garden_tree_8,,,,,,,dirty_top_right_01,dirty_01,water_bottom_right_01,water_bottom_01,water_bottom_01,water_bottom_01,water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,water_left_01,,,,dirty_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,,,,,,,,,dirty_river_vertical_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dirty_top_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,water_left_01,,,,,,,,,,,,,,,,,,dirty_01,dirty_top_left_01,,,,,,,,dirty_river_vertical_01,,,,,,,,,,,,,,,,,,,,,,,,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,water_left_01,,,,water_top_right_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_left_01,,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,dirty_river_vertical_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,water_top_01,water_top_01,water_top_01,water_01,,,,,,,,,,,,,,,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,stair_top,water_top_01,water_top_01,water_top_01,water_top_01,water_top_left_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,stair_top,water_01,,,,water_left_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_top_right_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_left_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,stair_top,water_01,,,,water_left_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,water_left_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,water_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,stair_top,water_01,,,,,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_01,,,,,,,,,,,,water_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_top_01,water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_01,stair_top,water_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
